service_type,department,division,position_number,job_title,total_pay,city,state
Education,Cambridge Public Schools,Elementary School Education,00001506,Teacher,81992,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000167,Safety Specialist 12 Months,81894,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000154,Safety Specialist 12 Months,81894,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I247-701,Zoning Specialist,81875,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005340,Teacher,81858,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000947,Teacher,81858,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004718,Teacher,81858,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004600,Teacher Special Educator,81858,Cambridge,MA
Human Resource Development,Library,Main Library,L408-702,Senior Librarian,81531,Cambridge,MA
General Government,Finance,Assessing,M380-701,Customer Srvc. Sup./Deed Spec.,81491,Cambridge,MA
Public Safety,Police,Technical Services,M487-002,Crime Analyst III,81491,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,M368-701,Administrative Coordinator/ECD,81491,Cambridge,MA
General Government,Finance,Purchasing,M214-701,Construc & Sustain.Purch. Spec,81491,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,M871-701,Asst. Parking Srvc Mgr for Sys,81303,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I212-003,Building Inspector,81160,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000118,Sr Custodian-4,81154,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,C597-001,Operation Team Ldr/DAF Plant,81040,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,M622-001,Project Coordinator/Environmental Health,81033,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001991,Clerk Specialist,80928,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000794,SocialWorker/AdjustmentCounsel,80863,Cambridge,MA
Human Resource Development,Human Services,Planning and Development,K493-001,Planner/Contract Manager,80801,Cambridge,MA
Human Resource Development,Human Services,Agenda for Children Literacy and OST,M286-701,Impact and Evaluation Advisor,80789,Cambridge,MA
General Government,Executive,Office of Equity and Inclusion,M358-701,Equity Analyst,80778,Cambridge,MA
Community Maintenance and Development,Community Development,Housing,M588-737,Assoc Planner,80707,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004828,Teacher Special Educator,80686,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00008134,SocialWorker/AdjustmentCounsel,80686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005109,SocialWorker/AdjustmentCounsel,80686,Cambridge,MA
General Government,Finance,Information Technology,M950-001,Audio Visual Technician,80590,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,M136-701,Pre-Sch.l Dir./Teacher/Windsor,80467,Cambridge,MA
Community Maintenance and Development,Cable Television,22-CityView & CCTV,M381-701,Associate Producer,80352,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C690-001,Working Supervisor/Parks LIC,80334,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M870-704,Youth Center Director,80333,Cambridge,MA
Human Resource Development,Human Services,Office of Workforce Development,M126-701,Career Counseling Coordinator,80333,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M242-701,DHSP Operations Manager,80333,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M462-701,Executive Project Assistant,80333,Cambridge,MA
Human Resource Development,Human Services,Inclusion Initiative,M435-702,Inclusion Specialist,80333,Cambridge,MA
Human Resource Development,Human Services,Office of Workforce Development,M379-701,Transitional Jobs Prog. Coord.,80333,Cambridge,MA
Human Resource Development,Human Services,Office of Workforce Development,M498-701,Senior Job Developer,80333,Cambridge,MA
General Government,Election Commission,Administration,M068-702,Operations Manager/Election,80333,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I119-001,Code Inspector/Constable,80321,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I120-004,Sanitary/Housing Inspector Con,80321,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005608,Clerk Specialist,80303,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005133,Clerk Specialist-OSE,80268,Cambridge,MA
Education,Cambridge Public Schools,Operations,00001896,Carpenter Senior 4,80232,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00008363,Clerk Specialist-OSE,80191,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004295,Payroll Systems Support Specia,80187,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001598,Literacy Coach,80164,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-112,Electrician,80034,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-008,Electrician,80034,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-010,Electrician,80034,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-005,Electrician,80034,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-111,Electrician,80034,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-002,Electrician,80034,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-007,Electrician,80034,Cambridge,MA
General Government,Executive,Housing Liaison,M624-002,Housing Search Case Manager,79992,Cambridge,MA
General Government,Executive,Housing Liaison,M624-001,Housing Search Case Manager,79992,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I220-003,Sanitary/Housing Inspector,79960,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I220-002,Sanitary/Housing Inspector,79960,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I220-007,Sanitary/Housing Inspector,79960,Cambridge,MA
Human Resource Development,Library,Main Library,L408-703,Senior Librarian,79886,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001810,Teacher Special Educator,79664,Cambridge,MA
General Government,Public Celebrations,Cambridge Arts Council,M597-701,Events Producer/CommArtsDir,79642,Cambridge,MA
Community Maintenance and Development,Community Development,Community Planning,M588-728,Assoc Planner,79538,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005136,Clerk Specialist,79451,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005528,Clerk Specialist,79451,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00002360,Clerk Specialist,79451,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00008350,Guidance Counselor,79421,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000945,Teacher Special Educator,79403,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000113,Sr Custodian-4,79382,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002112,Sr Custodian-4,79382,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001864,Sr Custodian-4,79382,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004611,Sr Custodian-4,79382,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000187,Safety Specialist 12 Months,79260,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000169,Safety Specialist 12 Months,79260,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000162,Safety Specialist 12 Months,79260,Cambridge,MA
Human Resource Development,Library,Main Library,M110-701,Human Resource Coord./Library,79234,Cambridge,MA
Human Resource Development,Human Services,Multi-Service Center,M762-701,Senior Case Manager,79234,Cambridge,MA
Human Resource Development,Library,Main Library,M267-701,Program And Event Coordinator,79234,Cambridge,MA
Human Resource Development,Library,Main Library,M626-001,Communications Coordintaor,79234,Cambridge,MA
Human Resource Development,Library,Main Library,M682-001,Digital Equity Coordinator,79234,Cambridge,MA
General Government,City Clerk,Administration,M888-701,Clerk of the City Council Comm,79033,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000062,Sr Custodian-4,78882,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000059,Sr Custodian-4,78882,Cambridge,MA
Education,Cambridge Public Schools,Operations,00001891,Carpenter Senior 4,78882,Cambridge,MA
Education,Cambridge Public Schools,Operations,00001894,Senior Storekeeper,78882,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005511,Sr Custodian-4,78882,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000581,Teacher,78863,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001525,Teacher,78861,Cambridge,MA
Community Maintenance and Development,Public Works,Fleet Management,C689-002,Wrkg Frpsn/Diesel,78854,Cambridge,MA
Community Maintenance and Development,Public Works,Fleet Management,c710-001,Work Sup./Lead MER Work/HVY ME,78854,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C608-001,Working Forepsn Carpenter/LIC,78802,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005232,Clerk Specialist,78802,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,C626-009,Electrician,78793,Cambridge,MA
General Government,Mayor,Administration,M301-701,Dir. of Constituent Services,78789,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005607,Clerk Specialist,78778,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000528,Teacher,78778,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M588-735,Assoc Planner,78737,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000614,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005319,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005415,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001632,Literacy Interventionist,78686,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005555,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000802,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000509,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005339,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005063,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001104,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00008374,Math Interventionist,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000972,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000789,Trainer,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000725,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001587,Teacher,78686,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005238,Teacher,78686,Cambridge,MA
Human Resource Development,Human Services,Office of Workforce Development,M494-701,Career Counselor/CEP,78679,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005444,Technology Support Technician,78650,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-711,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-701,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-717,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-704,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-706,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-714,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M870-705,Youth Center Director,78631,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M287-701,Special Projects Manager/Youth,78631,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M870-701,Youth Center Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-709,Comm School Director,78631,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M870-702,Youth Center Director,78631,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M428-708,Comm School Director,78631,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-029,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-033,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-036,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-022,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-018,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-017,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-013,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-012,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-010,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-005,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-004,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-002,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-001,Emergency Telecom Dispatcher,78487,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-025,Emergency Telecom Dispatcher,78487,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C763-003,Working Sup./Skilled Lab/SpMEO,78301,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,C763-002,Working Sup./Skilled Lab/SpMEO,78301,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C696-001,W.S. High Maint Crafts/MEO IIA,78301,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C696-003,W.S. High Maint Crafts/MEO IIA,78301,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007285,Teacher Special Educator,78245,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004819,Standardized Test Coordinator,78220,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00002352,Clerk Specialist,78153,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002332,Clerk Specialist,78153,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002333,Clerk Specialist,78153,Cambridge,MA
