service_type,department,division,position_number,job_title,total_pay,city,state
Public Safety,Police,Family and Social Justice,M210-702,Case Manager,59387,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004860,Senior Clerk,59284,Cambridge,MA
Human Resource Development,Human Services,Multi-Service Center,M438-701,Multi Service Center Assistant,59188,Cambridge,MA
Public Safety,License Commission,Consumers' Council,M239-701,Consumer Information Specialis,59088,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-701,Head Teacher/Daycare,59081,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002199,Family Resource Liaison 40Hrs,59005,Cambridge,MA
Human Resource Development,Human Services,Baby U and Center for Families,M510-701,Baby U Father Facilitator,58955,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-723,Head Teacher/Daycare,58947,Cambridge,MA
Public Safety,License Commission,Administration,A505-701,License Investigator,58931,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",C101-702,Admin Asst/Personnel/DHSP,58875,Cambridge,MA
Human Resource Development,Human Services,Elderly Services & Council on Aging,A499-701,Meals Coordinator/COA,58762,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005386,Senior Clerk,58584,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L413-709,Librarian II,58540,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C323-015,Park Maint Crafts/MEO I,58526,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-707,Head Teacher/Daycare,58380,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C644-166,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-039,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-123,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-208,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-209,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C644-244,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,C644-180,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-242,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-052,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-036,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C644-059,Laborer,58352,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C644-079,Laborer,58352,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008365,Literacy Interventionist,58292,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-038,Emergency Telecom Dispatcher,58258,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-011,Emergency Telecom Dispatcher,58258,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-007,Emergency Telecom Dispatcher,58258,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004521,Certified Educational ASL Interpreter,58078,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004631,Senior Clerk,58008,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,C614-001,Forestry Worker/MEO I,57964,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000174,Library Media Technician,57957,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,M312-701,Project Administrator,57936,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-006,Highway Maint Craft/MEO I,57929,Cambridge,MA
Public Safety,Police,"Planning, Budget & Personnel",C171-711,Sr Account Clerk,57733,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00003865,InstructionalSupportCoach,57729,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M310-706,Community School Program Dir.,57706,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M310-704,Community School Program Dir.,57706,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M310-705,Community School Program Dir.,57706,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M427-710,Youth Center Program Director,57706,Cambridge,MA
Education,Cambridge Public Schools,Operations,00004571,Custodian Jr 1,57701,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001893,Custodian Jr 1,57701,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-212,Laborer,57658,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-712,Head Teacher/Daycare,57537,Cambridge,MA
Public Safety,Police,Professional Standards,M210-701,Case Manager,57514,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005553,Physical Therapist,57285,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C733-060,Senior Laborer/Bldg Operations,57114,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C748-002,Meo II/Laborer/PWD,57065,Cambridge,MA
General Government,Finance,Purchasing,C194-001,Buyer/MCPPO/Purchasing,56745,Cambridge,MA
Human Resource Development,Human Services,Community Learning Center,M446-709,Teacher/Comm Learn Cntr,56727,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,C644-235,Laborer,56661,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008289,Aide-7,56638,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-057,MEO/Laborer/PWD,56579,Cambridge,MA
